GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
semispace-main,org.semispace,SemiSpaceStatistics,12,235,0,0,3,56,3,19,3,19
semispace-main,org.semispace,ElementLease,4,28,0,0,1,6,1,3,1,3
semispace-main,org.semispace,SemiSpace.WrappedInternalWriter,8,32,0,0,3,9,0,4,0,4
semispace-main,org.semispace,DistributedEvent,0,22,0,0,0,8,0,4,0,4
semispace-main,org.semispace,SemiSpace.PreprocessedTemplate,23,0,0,0,10,0,5,0,5,0
semispace-main,org.semispace,ListenerLease,4,22,0,0,1,6,1,3,1,3
semispace-main,org.semispace,EventDistributor,0,12,0,0,0,4,0,3,0,3
semispace-main,org.semispace,Holder,0,37,0,0,0,14,0,7,0,7
semispace-main,org.semispace,NameValueQuery,0,3,0,0,0,1,0,1,0,1
semispace-main,org.semispace,SemiSpace.ShortestTtlComparator,5,11,2,2,1,2,2,1,0,1
semispace-main,org.semispace,SemiEventRegistration,3,12,0,0,1,5,1,2,1,2
semispace-main,org.semispace,SemiSpace,184,1155,21,125,53,266,28,90,9,36
semispace-main,org.semispace,HolderContainer,36,405,8,28,6,92,8,26,0,16
semispace-main,org.semispace,JacksonSerializer,21,110,1,7,6,27,1,7,0,4
semispace-main,org.semispace,HolderElement,13,87,1,3,3,23,1,12,0,11
semispace-main,org.semispace,SemiBlockingListener,56,0,4,0,21,0,9,0,7,0
semispace-main,org.semispace,ListenerHolder,0,31,0,0,0,12,0,6,0,6
semispace-main,org.semispace.admin,TimeQuery,0,3,0,0,0,1,0,1,0,1
semispace-main,org.semispace.admin,SemiSpaceAdmin,113,519,23,49,28,135,21,36,2,19
semispace-main,org.semispace.admin,SemiSpaceAdmin.IdentifyAdminQueryComparator,13,5,3,1,3,2,2,1,0,1
semispace-main,org.semispace.admin,TimeAnswer,0,3,0,0,0,1,0,1,0,1
semispace-main,org.semispace.admin,DaemonDelegateFactory,0,16,0,0,0,6,0,2,0,2
semispace-main,org.semispace.admin,PeriodicHarvest,11,56,5,3,4,15,5,3,1,3
semispace-main,org.semispace.admin,ScheduledSemiSpaceHarvester,51,13,10,0,16,5,7,2,2,2
semispace-main,org.semispace.admin,SemiSpaceRejectedExecutionHandler,9,16,0,0,3,5,1,2,1,2
semispace-main,org.semispace.admin,SemiSpaceAdmin.new Runnable() {...},0,16,0,0,0,4,0,2,0,2
semispace-main,org.semispace.admin,IdentifyAdminQuery,0,3,0,0,0,1,0,1,0,1
semispace-main,org.semispace.event,SemiExpirationEvent,3,6,0,0,1,3,1,1,1,1
semispace-main,org.semispace.event,SemiEvent,0,3,0,0,0,1,0,1,0,1
semispace-main,org.semispace.event,SemiRenewalEvent,6,9,0,0,2,4,2,1,2,1
semispace-main,org.semispace.event,SemiAvailabilityEvent,0,9,0,0,0,4,0,2,0,2
semispace-main,org.semispace.event,SemiTakenEvent,3,6,0,0,1,3,1,1,1,1
semispace-main,org.semispace.exception,SemiSpaceObjectException,9,0,0,0,4,0,2,0,2,0
semispace-main,org.semispace.exception,SemiSpaceInternalException,9,0,0,0,4,0,2,0,2,0
semispace-main,org.semispace.exception,SemiSpaceException,9,0,0,0,4,0,2,0,2,0
semispace-main,org.semispace.exception,ActorException,4,0,0,0,2,0,1,0,1,0
semispace-main,org.semispace.exception,SemiSpaceUsageException,4,0,0,0,2,0,1,0,1,0
semispace-main,org.semispace.actor,Actor,297,0,16,0,63,0,20,0,12,0
semispace-main,org.semispace.actor,ActorNotification,57,0,4,0,15,0,5,0,3,0
semispace-main,org.semispace.actor,ActorNotification.ActorMessageTaker,126,0,12,0,30,0,8,0,2,0
semispace-main,org.semispace.actor,ActorMessage,6,24,0,0,1,10,1,7,1,7
semispace-main,org.semispace.actor,ActorManifest,7,22,0,0,3,8,1,4,1,4
